49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;50;1;1;9;20;21;21;21;21;22;9;1;51
49;49;49;49;50;20;22;20;22;51;49;50;1;9;20;22;1;51;49;49;49;49;49;49;49;49;49;52;4;14;36;28;29;29;29;29;31;36;4;53
49;49;49;49;52;28;30;28;30;53;49;52;14;36;28;30;4;53;49;49;49;50;1;9;1;1;51;54;0;0;0;0;0;0;0;0;0;0;0;55
49;49;49;49;54;0;47;47;0;55;49;54;0;0;0;0;0;55;49;49;49;52;14;36;4;4;53;54;0;56;57;58;0;0;0;0;0;0;0;55
49;49;49;49;54;0;48;48;0;55;49;54;0;47;0;47;0;55;49;49;49;54;0;0;0;0;55;54;0;59;49;60;57;57;61;23;24;25;1;62
49;49;49;49;54;0;0;0;0;55;49;54;0;48;0;48;0;55;49;49;49;54;0;0;0;0;55;54;0;59;49;49;49;49;52;33;34;35;4;53
50;1;9;20;22;9;24;25;9;20;22;8;0;0;0;0;0;55;49;49;49;54;0;47;0;0;7;8;0;18;20;21;22;51;54;0;0;0;0;55
52;14;36;28;31;36;34;35;36;28;30;11;0;0;0;0;0;55;49;49;49;54;0;48;0;0;10;11;0;26;28;29;30;53;54;47;0;0;47;55
54;0;47;0;0;47;0;0;47;0;0;0;0;47;0;47;0;7;51;49;49;54;0;0;0;0;0;0;0;0;0;0;0;55;54;48;0;0;48;55
54;0;48;0;0;48;0;0;48;0;0;0;0;48;0;48;0;10;53;49;49;54;0;0;0;0;3;2;0;0;0;0;0;55;54;0;0;0;0;55
54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;1;1;9;1;23;24;25;6;5;63;57;64;0;56;65;66;57;57;57;57;65
66;57;61;24;25;63;57;57;57;57;61;24;25;63;61;23;24;25;6;4;14;36;4;33;34;35;11;10;53;49;67;0;59;49;49;49;49;49;49;49
49;49;52;34;35;53;49;49;49;49;52;34;35;53;52;33;34;35;11;0;0;0;0;0;0;0;0;0;55;50;19;0;18;1;9;1;1;9;51;49
49;49;54;0;0;55;49;49;49;49;54;0;0;55;54;0;0;0;0;0;0;0;0;0;0;0;0;0;55;52;27;0;26;14;36;4;14;36;53;49
50;20;8;0;0;7;22;51;49;49;54;0;0;55;54;0;0;0;0;47;0;0;47;0;0;47;0;0;55;54;0;0;0;0;0;0;0;0;55;49
52;28;11;0;0;10;30;53;49;49;54;0;0;55;54;0;0;0;0;48;0;0;48;0;0;48;0;0;55;54;0;47;0;0;0;0;47;0;55;49
54;0;0;0;0;0;0;55;49;49;54;0;0;55;54;0;0;0;0;0;0;0;0;0;0;0;0;0;55;54;0;48;0;0;0;0;48;0;55;49
